DATE,month,year,Patriotism_1,Crime_Security,GOP,Fake_News,Election,Self_Congratulatory_unclear,Fopo,Unclear,Economy,Democrats_Conspiracy
2015-06-01,6,2015,0.01664937235570034,0.007264409607491863,0.0407029500286645,0.003544821622801305,0.01226026021172639,0.013488442763192181,0.014019860871986978,0.06972677050944621,0.012416150752117262,0.006334515738762212
2015-07-01,7,2015,0.01449326356969697,0.009582603976893951,0.04257399189671719,0.004521424863257574,0.010353557977146462,0.014530522209090915,0.009807180548611115,0.05859577000517674,0.009898912778661617,0.006653970382196979
2015-08-01,8,2015,0.014061489274175824,0.0054620880184065934,0.03744281372142856,0.004658054010164837,0.013731145230769239,0.01354392039587912,0.009017515952472525,0.05966722676071429,0.012031432904120875,0.007401157328296706
2015-09-01,9,2015,0.01589664497775176,0.004188880311007025,0.02947588149625292,0.00503357099789227,0.012636900922482439,0.0074978769735363025,0.007145753107728337,0.046223790447541005,0.015849849268149883,0.007606837281030443
2015-10-01,10,2015,0.01708128829295598,0.003497129788176102,0.04261415807534592,0.006408092447044027,0.011717498566163517,0.008135599874968553,0.010285027371194971,0.06557124962176095,0.014036600904276735,0.007869086041383646
2015-11-01,11,2015,0.01782329416473593,0.004275700164735943,0.030264669359114132,0.006781410670698467,0.015499123561839856,0.011302164456047698,0.010656994336967639,0.050719219757410526,0.01801524323611584,0.007949600794037481
2015-12-01,12,2015,0.015335538279099673,0.0036652119033762057,0.030543073416077177,0.006891936661575567,0.025068968997749193,0.01225300056286173,0.011272597699356915,0.03581354842733115,0.01826015913713825,0.015239862219292605
2016-01-01,1,2016,0.015074043017819706,0.003949299798322852,0.024997573593081766,0.00445884407903564,0.026132051543815545,0.012758753803773582,0.007640938794758909,0.024691631210272513,0.023324747954088045,0.01224689534716981
2016-02-01,2,2016,0.015066126942372882,0.005825640815677965,0.020546365847669498,0.003599637072457627,0.024159700451694913,0.014976831520762715,0.004318200172245761,0.024218532581991546,0.026343706915466093,0.009854169162923723
2016-03-01,3,2016,0.013301831915238089,0.004595449803809525,0.01977053072476191,0.006966489396190475,0.030099720344285718,0.01513032479738096,0.007360056774285717,0.016419609289285708,0.017601025944285725,0.011798785998809522
